mode,seed,background_cell_type_balanced_accuracy,bg_shared_cka,bg_drug_cka,shared_drug_cka
full,0,0.9908421445099848,0.024453606456518173,0.07248102128505707,0.24715547263622284
full,1,0.9853780174032112,0.02333696000277996,0.13532754778862,0.12900389730930328
full,2,0.9904860191538595,0.011550327762961388,0.02035694755613804,0.2804766893386841
no_hsic,0,0.9876721272554606,0.028862010687589645,0.06961416453123093,0.037415239959955215
no_hsic,1,0.9812113507365446,0.07714264839887619,0.0815158560872078,0.12397301942110062
no_hsic,2,0.9910305596693302,0.02654196135699749,0.020592354238033295,0.26630279421806335
no_gating,0,0.8559052168517366,0.0025976356118917465,0.0024627994280308485,0.014331240206956863
no_gating,1,0.7869272139942426,0.008201912976801395,0.010044775903224945,0.03583149239420891
no_gating,2,0.8876463408801963,0.009188949130475521,0.002191087231040001,0.011572983115911484
gaussian_vae,0,0.9177308652591073,0.031050028279423714,0.03650333359837532,0.0472167506814003
gaussian_vae,1,0.8447691639441762,0.002569486852735281,0.006781292147934437,0.006790514104068279
gaussian_vae,2,0.7628125996406935,0.01986129768192768,0.0041463603265583515,0.016821134835481644
