study,annotation,count,mean,median
GSE216146,Astrocyte,1437,0.99727696,0.99964225
GSE216146,Choroid Plexus,2628,0.9963163,0.99924135
GSE216146,Endothelial,1290,0.9873786,0.99865043
GSE216146,Ependymal,134,0.998556,0.9995777
GSE216146,Fibroblast,26,0.98013157,0.99244535
GSE216146,Immune,424,0.9715486,0.9914199
GSE216146,Microglia,4065,0.9841482,0.99939024
GSE216146,Neuron,287,0.9894807,0.9993507
GSE216146,OPC,635,0.9921726,0.999498
GSE216146,Oligodendrocyte,3539,0.99359226,0.99712294
GSE216146,Pericyte,346,0.9712697,0.9992132
GSE216146,Progenitor,154,0.989077,0.99899995
GSE271055,Astrocyte,705,0.9009707,0.90579176
GSE271055,Choroid Plexus,21,0.88645524,0.89040124
GSE271055,Endothelial,34,0.93278253,0.95756173
GSE271055,Ependymal,3,0.8929394,0.88927186
GSE271055,Immune,17,0.91391486,0.91961384
GSE271055,Neuron,7242,0.9932831,0.99759644
GSE271055,OPC,346,0.9364543,0.9588824
GSE271055,Oligodendrocyte,354,0.8748605,0.8690088
GSE271055,Pericyte,12,0.8989195,0.9071756
GSE271055,uncertain,23158,0.90247715,0.9911076
