comparison,axis,baseline,target,a,b,spearman,top50_jaccard
seed,shared,zero,coordinate_sum,0,1,0.8180610012802676,0.21951219512195122
seed,shared,zero,coordinate_sum,0,2,0.8185632980613075,0.16279069767441862
seed,shared,zero,coordinate_sum,1,2,0.8384373071420582,0.3888888888888889
seed,shared,zero,norm_squared,0,1,0.7786262782814534,0.20481927710843373
seed,shared,zero,norm_squared,0,2,0.8311445268218968,0.19047619047619047
seed,shared,zero,norm_squared,1,2,0.8791089874308433,0.639344262295082
seed,shared,control_median,coordinate_sum,0,1,0.8135113378111793,0.17647058823529413
seed,shared,control_median,coordinate_sum,0,2,0.81042496729951,0.19047619047619047
seed,shared,control_median,coordinate_sum,1,2,0.8312293331837785,0.4084507042253521
seed,shared,control_median,norm_squared,0,1,0.765477852167129,0.21951219512195122
seed,shared,control_median,norm_squared,0,2,0.8241624678858065,0.2345679012345679
seed,shared,control_median,norm_squared,1,2,0.8691041574073095,0.5625
seed,drug0,zero,coordinate_sum,0,1,0.9247498201839659,0.28205128205128205
seed,drug0,zero,coordinate_sum,0,2,0.9280822002226785,0.26582278481012656
seed,drug0,zero,coordinate_sum,1,2,0.9292578929894303,0.26582278481012656
seed,drug0,zero,norm_squared,0,1,0.9214076020494651,0.28205128205128205
seed,drug0,zero,norm_squared,0,2,0.9072993914813361,0.26582278481012656
seed,drug0,zero,norm_squared,1,2,0.9251492673995442,0.2345679012345679
seed,drug0,control_median,coordinate_sum,0,1,0.9148997676638744,0.20481927710843373
seed,drug0,control_median,coordinate_sum,0,2,0.9165608773550777,0.19047619047619047
seed,drug0,control_median,coordinate_sum,1,2,0.9191926596149256,0.19047619047619047
seed,drug0,control_median,norm_squared,0,1,0.904426652849347,0.12359550561797752
seed,drug0,control_median,norm_squared,0,2,0.9065170869240757,0.19047619047619047
seed,drug0,control_median,norm_squared,1,2,0.9179970524016695,0.17647058823529413
seed,drug1,zero,coordinate_sum,0,1,0.8582650555454863,0.26582278481012656
seed,drug1,zero,coordinate_sum,0,2,0.8660681301989344,0.35135135135135137
seed,drug1,zero,coordinate_sum,1,2,0.8278174122529438,0.21951219512195122
seed,drug1,zero,norm_squared,0,1,0.820756794815556,0.3157894736842105
seed,drug1,zero,norm_squared,0,2,0.9033656213295497,0.42857142857142855
seed,drug1,zero,norm_squared,1,2,0.7721740524846206,0.0989010989010989
seed,drug1,control_median,coordinate_sum,0,1,0.843827284468611,0.20481927710843373
seed,drug1,control_median,coordinate_sum,0,2,0.844689028400069,0.2345679012345679
seed,drug1,control_median,coordinate_sum,1,2,0.8118603823037535,0.20481927710843373
seed,drug1,control_median,norm_squared,0,1,0.7954192152843143,0.12359550561797752
seed,drug1,control_median,norm_squared,0,2,0.8984182342465309,0.35135135135135137
seed,drug1,control_median,norm_squared,1,2,0.735743900306993,0.02040816326530612
baseline,shared,paired,coordinate_sum,0,0,0.9883975378955704,0.8867924528301887
baseline,shared,paired,norm_squared,0,0,0.9902196769064762,0.7543859649122807
baseline,drug0,paired,coordinate_sum,0,0,0.9854530631423484,0.639344262295082
baseline,drug0,paired,norm_squared,0,0,0.9533612240050013,0.21951219512195122
baseline,drug1,paired,coordinate_sum,0,0,0.9850095671121495,0.6949152542372882
baseline,drug1,paired,norm_squared,0,0,0.9917334841467581,0.5625
baseline,shared,paired,coordinate_sum,1,1,0.9862210016895055,0.6949152542372882
baseline,shared,paired,norm_squared,1,1,0.991002241067823,0.7857142857142857
baseline,drug0,paired,coordinate_sum,1,1,0.9826492608246246,0.5873015873015873
baseline,drug0,paired,norm_squared,1,1,0.9744676819057358,0.47058823529411764
baseline,drug1,paired,coordinate_sum,1,1,0.9835225581152086,0.6949152542372882
baseline,drug1,paired,norm_squared,1,1,0.9800679498950836,0.5384615384615384
baseline,shared,paired,coordinate_sum,2,2,0.9899924500414464,0.7543859649122807
baseline,shared,paired,norm_squared,2,2,0.988789511545567,0.7241379310344828
baseline,drug0,paired,coordinate_sum,2,2,0.9712450310903895,0.47058823529411764
baseline,drug0,paired,norm_squared,2,2,0.973669967752837,0.5873015873015873
baseline,drug1,paired,coordinate_sum,2,2,0.9840303741158605,0.6949152542372882
baseline,drug1,paired,norm_squared,2,2,0.987590984443503,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,0,0.9508604834656886,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,1,0.9308668788191701,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,2,0.9107612605586561,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,3,0.9484836341591126,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,4,0.9203536014729683,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,5,0.9619321355401341,0.7241379310344828
cell_bootstrap,shared,zero,norm_squared,0,6,0.8986899389118653,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,7,0.9038444075044668,0.5384615384615384
cell_bootstrap,shared,zero,norm_squared,0,8,0.9683953410526422,0.6949152542372882
cell_bootstrap,shared,zero,norm_squared,0,9,0.9538554275188214,0.8867924528301887
cell_bootstrap,shared,zero,norm_squared,0,10,0.8608771422966935,0.3888888888888889
cell_bootstrap,shared,zero,norm_squared,0,11,0.9232102064838681,0.5384615384615384
cell_bootstrap,shared,zero,norm_squared,0,12,0.9670013329302155,0.8181818181818182
cell_bootstrap,shared,zero,norm_squared,0,13,0.9331586748447303,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,14,0.9106797939142603,0.4925373134328358
cell_bootstrap,shared,zero,norm_squared,0,15,0.9751639901656105,0.7857142857142857
cell_bootstrap,shared,zero,norm_squared,0,16,0.9591905876547593,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,17,0.9384936266276177,0.4492753623188406
