cell_type,gene
Neuron,Snap25
Neuron,Syt1
Neuron,Rbfox3
Neuron,Slc17a7
Neuron,Gad1
Neuron,Gad2
Astrocyte,Aldh1l1
Astrocyte,Aqp4
Astrocyte,Slc1a3
Astrocyte,Gfap
Oligodendrocyte,Mbp
Oligodendrocyte,Plp1
Oligodendrocyte,Mog
Oligodendrocyte,Mag
OPC,Pdgfra
OPC,Cspg4
OPC,Vcan
Microglia,P2ry12
Microglia,Cx3cr1
Microglia,Tmem119
Microglia,C1qa
Endothelial,Cldn5
Endothelial,Pecam1
Endothelial,Kdr
Endothelial,Flt1
Pericyte,Pdgfrb
Pericyte,Rgs5
Pericyte,Kcnj8
Ependymal,Foxj1
Ependymal,Pifo
Ependymal,Dynlrb2
Choroid Plexus,Ttr
Choroid Plexus,Aqp1
Immune,Ptprc
Progenitor,Sox2
Progenitor,Dcx
Progenitor,Mki67
