study,sample_id,arm,before_qc,after_qc,median_counts_before,median_pct_mt_before
GSE216146,D20-6407,control,1265,606,3593.0,10.659340659340659
GSE216146,D20-6408,control_GENUS,611,260,4483.0,12.003872216844142
GSE216146,D20-6409,cisplatin,1930,692,3264.0,13.871531243911523
GSE216146,D20-6410,cisplatin_GENUS,1105,241,3591.0,17.6186158960411
GSE216146,D21-2746,control,2772,2534,5746.5,3.864855532202352
GSE216146,D21-2747,control,1952,1690,6797.5,4.654813436043174
GSE216146,D21-2748,control_GENUS,1677,1488,6553.0,4.051987767584098
GSE216146,D21-2749,control_GENUS,2580,2350,3330.0,3.1855591664087486
GSE216146,D21-2750,cisplatin,2709,2372,6034.0,4.331737048323901
GSE216146,D21-2751,cisplatin,1110,941,7132.5,5.112707910140018
GSE216146,D21-2752,cisplatin_GENUS,992,846,6671.0,5.116567957566735
GSE216146,D21-2753,cisplatin_GENUS,1131,945,6948.0,4.977670264235207
GSE271055,GSM8367861,control,10909,9455,1487.0,0.0
GSE271055,GSM8367862,doxorubicin,12221,10518,1485.0,0.0
GSE271055,GSM8367863,doxorubicin_ACY1083,12192,11919,3912.5,0.0
