seed,axis,baseline,target,median_absolute_error,max_absolute_error,median_relative_error
0,shared,zero,coordinate_sum,0.008511618,0.11363298,0.24246925
0,shared,zero,norm_squared,0.0020689843,0.022888891,1.0725518
0,shared,control_median,coordinate_sum,0.00022399519,0.0057679564,0.009629002
0,shared,control_median,norm_squared,8.454081e-06,0.00010426901,0.0075877104
0,drug0,zero,coordinate_sum,0.00927075,0.023742527,1.1169398
0,drug0,zero,norm_squared,0.008634876,0.013061225,2.8752308
0,drug0,control_median,coordinate_sum,2.2740278e-05,0.00044997782,0.0041257204
0,drug0,control_median,norm_squared,6.2960316e-07,6.362796e-06,0.0015306724
0,drug1,zero,coordinate_sum,0.030693747,0.080129266,0.6493236
0,drug1,zero,norm_squared,0.00050009706,0.014905468,0.6496495
0,drug1,control_median,coordinate_sum,7.498078e-05,0.001130484,0.0041692615
0,drug1,control_median,norm_squared,4.1793246e-06,0.00019136071,0.005624021
1,shared,zero,coordinate_sum,0.019459616,0.1410613,0.9645888
1,shared,zero,norm_squared,0.0015254642,0.043177843,1.2853384
1,shared,control_median,coordinate_sum,0.00018482003,0.0040067434,0.011300738
1,shared,control_median,norm_squared,7.7356235e-06,0.0006451607,0.004881772
1,drug0,zero,coordinate_sum,0.019455386,0.039397515,0.48640418
1,drug0,zero,norm_squared,0.0006281006,0.0014826553,1.0970893
1,drug0,control_median,coordinate_sum,2.810941e-05,0.00018842518,0.0052861576
1,drug0,control_median,norm_squared,5.4398697e-07,6.8832887e-06,0.008120681
1,drug1,zero,coordinate_sum,0.0028329603,0.06736305,0.15411402
1,drug1,zero,norm_squared,0.00040678878,0.0032706754,0.75300425
1,drug1,control_median,coordinate_sum,8.539483e-05,0.001700595,0.004587859
1,drug1,control_median,norm_squared,2.9181829e-06,3.8917176e-05,0.0082037505
2,shared,zero,coordinate_sum,0.018899882,0.54432464,0.42974728
2,shared,zero,norm_squared,0.0018399751,0.16619873,0.9727233
2,shared,control_median,coordinate_sum,0.0008707773,0.016946316,0.019667577
2,shared,control_median,norm_squared,1.8984807e-05,0.00067329407,0.008304367
2,drug0,zero,coordinate_sum,0.09344483,0.15386073,5.9598103
2,drug0,zero,norm_squared,0.0025904556,0.0038811732,6.732912
2,drug0,control_median,coordinate_sum,1.43866055e-05,0.00016282406,0.0027937442
2,drug0,control_median,norm_squared,7.459457e-07,7.596689e-06,0.004817622
2,drug1,zero,coordinate_sum,0.0077231023,0.22738254,0.18851131
2,drug1,zero,norm_squared,0.007024369,0.27983022,4.097705
2,drug1,control_median,coordinate_sum,0.00013645552,0.0023886561,0.006691318
2,drug1,control_median,norm_squared,5.4933334e-06,0.0031276941,0.01080179
