seed,representation,task,balanced_accuracy
0,background,cis_source_cell_type,0.9908421445099848
0,background,doxorubicin_treatment,0.5311557970723237
0,background,cisplatin_treatment,0.6450931677018634
0,shared_ungated,cis_source_cell_type,0.8420827670047278
0,shared_ungated,doxorubicin_treatment,0.5191550977097886
0,shared_ungated,cisplatin_treatment,0.5937060041407868
0,drug_ungated,cis_source_cell_type,0.8205078882602356
0,drug_ungated,doxorubicin_treatment,0.5318390823077356
0,drug_ungated,cisplatin_treatment,0.6224585921325052
1,background,cis_source_cell_type,0.9853780174032112
1,background,doxorubicin_treatment,0.5292586757128273
1,background,cisplatin_treatment,0.6214984472049689
1,shared_ungated,cis_source_cell_type,0.7555917586096889
1,shared_ungated,doxorubicin_treatment,0.4836031640125724
1,shared_ungated,cisplatin_treatment,0.6412267080745342
1,drug_ungated,cis_source_cell_type,0.7977119830447159
1,drug_ungated,doxorubicin_treatment,0.5358131898166384
1,drug_ungated,cisplatin_treatment,0.6065398550724638
2,background,cis_source_cell_type,0.9904860191538595
2,background,doxorubicin_treatment,0.5418411723566909
2,background,cisplatin_treatment,0.6371635610766045
2,shared_ungated,cis_source_cell_type,0.7512948025690257
2,shared_ungated,doxorubicin_treatment,0.49495172790778064
2,shared_ungated,cisplatin_treatment,0.636868530020704
2,drug_ungated,cis_source_cell_type,0.7543085957414645
2,drug_ungated,doxorubicin_treatment,0.49823451153144316
2,drug_ungated,cisplatin_treatment,0.6367934782608695
