axis,library,term,overlap,set_size_in_universe,list_size,universe_size,fold_enrichment,p_value,genes,q_value
shared,Reactome,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,10,52,50,1500,5.769230769230769,3.7017070403232225e-06,Ctsd|Ctss|Ifitm3|Mrc1|Mylip|Pik3ap1|Psmb8|Ptprc|Siglech|Tyrobp,0.0002109973012984237
shared,Reactome,REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0,11,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,1,11,50,1500,2.7272727272727275,0.31215205147852715,Mylip,1.0
shared,Reactome,REACTOME_APOPTOSIS,1,10,50,1500,3.0,0.2882684421548648,Cflar,1.0
shared,Reactome,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0,14,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,1,21,50,1500,1.4285714285714286,0.5116902720131731,Ctss,1.0
shared,Reactome,REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,0,10,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_BASIGIN_INTERACTIONS,0,10,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_CARDIAC_CONDUCTION,0,21,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_CDC42_GTPASE_CYCLE,0,15,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,3,46,50,1500,1.9565217391304346,0.19547782065070726,Gpx3|mt-Co2|mt-Co3,0.8253507983029863
shared,Reactome,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,3,15,50,1500,6.0,0.011956460152065383,Gpx3|mt-Co2|mt-Co3,0.17037955716693173
shared,Reactome,REACTOME_CELL_CELL_COMMUNICATION,1,14,50,1500,2.142857142857143,0.3791877227557184,Tyrobp,1.0
shared,Reactome,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,0,11,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_CELL_CYCLE,0,25,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_CELL_CYCLE_CHECKPOINTS,0,11,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_CELL_JUNCTION_ORGANIZATION,0,12,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,1,25,50,1500,1.2,0.5745095173169409,Pf4,1.0
shared,Reactome,REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,0,10,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,4,43,50,1500,2.7906976744186047,0.05179156664360612,C5ar1|Ccl4|Cxcl12|Pf4,0.3678268695611416
