cell_type,sample_id,arm,n_cells
Astrocyte,D20-6407,control,50
Astrocyte,D20-6408,control_GENUS,39
Astrocyte,D20-6409,cisplatin,35
Astrocyte,D20-6410,cisplatin_GENUS,20
Astrocyte,D21-2746,control,355
Astrocyte,D21-2747,control,159
Astrocyte,D21-2748,control_GENUS,153
Astrocyte,D21-2749,control_GENUS,181
Astrocyte,D21-2750,cisplatin,157
Astrocyte,D21-2751,cisplatin,104
Astrocyte,D21-2752,cisplatin_GENUS,92
Astrocyte,D21-2753,cisplatin_GENUS,92
Choroid Plexus,D20-6407,control,28
Choroid Plexus,D20-6408,control_GENUS,18
Choroid Plexus,D20-6409,cisplatin,133
Choroid Plexus,D20-6410,cisplatin_GENUS,42
Choroid Plexus,D21-2746,control,93
Choroid Plexus,D21-2747,control,132
Choroid Plexus,D21-2748,control_GENUS,209
Choroid Plexus,D21-2749,control_GENUS,509
Choroid Plexus,D21-2750,cisplatin,918
Choroid Plexus,D21-2751,cisplatin,113
Choroid Plexus,D21-2752,cisplatin_GENUS,253
Choroid Plexus,D21-2753,cisplatin_GENUS,180
Endothelial,D20-6407,control,73
Endothelial,D20-6408,control_GENUS,19
Endothelial,D20-6409,cisplatin,111
Endothelial,D20-6410,cisplatin_GENUS,29
Endothelial,D21-2746,control,235
Endothelial,D21-2747,control,91
Endothelial,D21-2748,control_GENUS,105
Endothelial,D21-2749,control_GENUS,162
Endothelial,D21-2750,cisplatin,157
Endothelial,D21-2751,cisplatin,130
Endothelial,D21-2752,cisplatin_GENUS,71
Endothelial,D21-2753,cisplatin_GENUS,107
Ependymal,D20-6407,control,4
Ependymal,D20-6409,cisplatin,10
Ependymal,D21-2746,control,26
Ependymal,D21-2747,control,19
Ependymal,D21-2748,control_GENUS,18
Ependymal,D21-2749,control_GENUS,20
Ependymal,D21-2750,cisplatin,11
Ependymal,D21-2751,cisplatin,15
Ependymal,D21-2752,cisplatin_GENUS,2
Ependymal,D21-2753,cisplatin_GENUS,9
Fibroblast,D20-6409,cisplatin,3
Fibroblast,D21-2746,control,1
Fibroblast,D21-2747,control,3
Fibroblast,D21-2748,control_GENUS,1
Fibroblast,D21-2749,control_GENUS,3
Fibroblast,D21-2750,cisplatin,3
Fibroblast,D21-2751,cisplatin,3
Fibroblast,D21-2752,cisplatin_GENUS,4
Fibroblast,D21-2753,cisplatin_GENUS,5
Immune,D20-6407,control,30
Immune,D20-6408,control_GENUS,10
Immune,D20-6409,cisplatin,24
