cell_type,contrast,reason
Choroid Plexus,control_GENUS_vs_control,one_or_more_libraries_below_20_cells
Endothelial,control_GENUS_vs_control,one_or_more_libraries_below_20_cells
Ependymal,cisplatin_vs_control,one_or_more_libraries_below_20_cells
Ependymal,control_GENUS_vs_control,one_or_more_libraries_below_20_cells
Ependymal,cisplatin_GENUS_vs_cisplatin,one_or_more_libraries_below_20_cells
Fibroblast,cisplatin_vs_control,one_or_more_libraries_below_20_cells
Fibroblast,control_GENUS_vs_control,one_or_more_libraries_below_20_cells
Fibroblast,cisplatin_GENUS_vs_cisplatin,one_or_more_libraries_below_20_cells
Immune,control_GENUS_vs_control,one_or_more_libraries_below_20_cells
Immune,cisplatin_GENUS_vs_cisplatin,one_or_more_libraries_below_20_cells
Neuron,cisplatin_vs_control,one_or_more_libraries_below_20_cells
Neuron,control_GENUS_vs_control,one_or_more_libraries_below_20_cells
Neuron,cisplatin_GENUS_vs_cisplatin,one_or_more_libraries_below_20_cells
OPC,cisplatin_GENUS_vs_cisplatin,one_or_more_libraries_below_20_cells
Pericyte,cisplatin_vs_control,one_or_more_libraries_below_20_cells
Pericyte,control_GENUS_vs_control,one_or_more_libraries_below_20_cells
Pericyte,cisplatin_GENUS_vs_cisplatin,one_or_more_libraries_below_20_cells
Progenitor,cisplatin_vs_control,one_or_more_libraries_below_20_cells
Progenitor,control_GENUS_vs_control,one_or_more_libraries_below_20_cells
Progenitor,cisplatin_GENUS_vs_cisplatin,one_or_more_libraries_below_20_cells
