seed,study,sample_id,arm,n_cells,mean_distance,median_distance
0,GSE216146,D20-6407,control,606,0.056609936,0.033581764
0,GSE216146,D20-6408,control_GENUS,260,0.050127514,0.03589029
0,GSE216146,D20-6409,cisplatin,692,0.082334876,0.046076484
0,GSE216146,D20-6410,cisplatin_GENUS,241,0.0662181,0.043991167
0,GSE216146,D21-2746,control,2534,0.060466647,0.03158515
0,GSE216146,D21-2747,control,1690,0.056322258,0.02920583
0,GSE216146,D21-2748,control_GENUS,1488,0.06059452,0.034523837
0,GSE216146,D21-2749,control_GENUS,2350,0.059014775,0.036486346
0,GSE216146,D21-2750,cisplatin,2372,0.067796625,0.049542256
0,GSE216146,D21-2751,cisplatin,941,0.08281292,0.035150345
0,GSE216146,D21-2752,cisplatin_GENUS,846,0.08123574,0.04647009
0,GSE216146,D21-2753,cisplatin_GENUS,945,0.088553876,0.04402399
0,GSE271055,GSM8367861,control,9455,0.017686969,0.011736516
0,GSE271055,GSM8367862,doxorubicin,10518,0.019667996,0.012086818
0,GSE271055,GSM8367863,doxorubicin_ACY1083,11919,0.024058713,0.01439498
1,GSE216146,D20-6407,control,606,0.06594684,0.034410514
1,GSE216146,D20-6408,control_GENUS,260,0.045991234,0.034824926
1,GSE216146,D20-6409,cisplatin,692,0.08218305,0.03783436
1,GSE216146,D20-6410,cisplatin_GENUS,241,0.06531797,0.036926527
1,GSE216146,D21-2746,control,2534,0.06250891,0.032751523
1,GSE216146,D21-2747,control,1690,0.06581696,0.031851567
1,GSE216146,D21-2748,control_GENUS,1488,0.07469479,0.034352235
1,GSE216146,D21-2749,control_GENUS,2350,0.060306624,0.035401687
1,GSE216146,D21-2750,cisplatin,2372,0.061685976,0.036987115
1,GSE216146,D21-2751,cisplatin,941,0.08195238,0.036025316
1,GSE216146,D21-2752,cisplatin_GENUS,846,0.0680905,0.0361325
1,GSE216146,D21-2753,cisplatin_GENUS,945,0.07493294,0.036516048
1,GSE271055,GSM8367861,control,9455,0.017439045,0.011724291
1,GSE271055,GSM8367862,doxorubicin,10518,0.01871887,0.0118549885
1,GSE271055,GSM8367863,doxorubicin_ACY1083,11919,0.021259263,0.012502872
2,GSE216146,D20-6407,control,606,0.11960389,0.05460953
2,GSE216146,D20-6408,control_GENUS,260,0.0854583,0.06274344
2,GSE216146,D20-6409,cisplatin,692,0.14902428,0.064003885
2,GSE216146,D20-6410,cisplatin_GENUS,241,0.1234846,0.06077905
2,GSE216146,D21-2746,control,2534,0.11431456,0.057830006
2,GSE216146,D21-2747,control,1690,0.119237594,0.0525591
2,GSE216146,D21-2748,control_GENUS,1488,0.123185396,0.055548504
2,GSE216146,D21-2749,control_GENUS,2350,0.096962556,0.05488971
2,GSE216146,D21-2750,cisplatin,2372,0.10498569,0.058542423
2,GSE216146,D21-2751,cisplatin,941,0.13353743,0.05856369
2,GSE216146,D21-2752,cisplatin_GENUS,846,0.13384543,0.05473095
2,GSE216146,D21-2753,cisplatin_GENUS,945,0.14755061,0.057792116
2,GSE271055,GSM8367861,control,9455,0.028538182,0.017521346
2,GSE271055,GSM8367862,doxorubicin,10518,0.031169867,0.017939858
2,GSE271055,GSM8367863,doxorubicin_ACY1083,11919,0.041977517,0.023588886
