study,sample_id,arm,source_cell_type,n_cells
GSE216146,D20-6407,control,Astrocyte,50
GSE216146,D20-6407,control,Choroid Plexus,28
GSE216146,D20-6407,control,Endothelial,73
GSE216146,D20-6407,control,Ependymal,4
GSE216146,D20-6407,control,Immune,30
GSE216146,D20-6407,control,Microglia,176
GSE216146,D20-6407,control,Neuron,22
GSE216146,D20-6407,control,OPC,46
GSE216146,D20-6407,control,Oligodendrocyte,158
GSE216146,D20-6407,control,Pericyte,15
GSE216146,D20-6407,control,Progenitor,4
GSE216146,D20-6408,control_GENUS,Astrocyte,39
GSE216146,D20-6408,control_GENUS,Choroid Plexus,18
GSE216146,D20-6408,control_GENUS,Endothelial,19
GSE216146,D20-6408,control_GENUS,Immune,10
GSE216146,D20-6408,control_GENUS,Microglia,78
GSE216146,D20-6408,control_GENUS,Neuron,6
GSE216146,D20-6408,control_GENUS,OPC,25
GSE216146,D20-6408,control_GENUS,Oligodendrocyte,58
GSE216146,D20-6408,control_GENUS,Pericyte,5
GSE216146,D20-6408,control_GENUS,Progenitor,2
GSE216146,D20-6409,cisplatin,Astrocyte,35
GSE216146,D20-6409,cisplatin,Choroid Plexus,133
GSE216146,D20-6409,cisplatin,Endothelial,111
GSE216146,D20-6409,cisplatin,Ependymal,10
GSE216146,D20-6409,cisplatin,Fibroblast,3
GSE216146,D20-6409,cisplatin,Immune,24
GSE216146,D20-6409,cisplatin,Microglia,168
GSE216146,D20-6409,cisplatin,Neuron,7
GSE216146,D20-6409,cisplatin,OPC,51
GSE216146,D20-6409,cisplatin,Oligodendrocyte,122
GSE216146,D20-6409,cisplatin,Pericyte,27
GSE216146,D20-6409,cisplatin,Progenitor,1
GSE216146,D20-6410,cisplatin_GENUS,Astrocyte,20
GSE216146,D20-6410,cisplatin_GENUS,Choroid Plexus,42
GSE216146,D20-6410,cisplatin_GENUS,Endothelial,29
GSE216146,D20-6410,cisplatin_GENUS,Immune,6
GSE216146,D20-6410,cisplatin_GENUS,Microglia,42
GSE216146,D20-6410,cisplatin_GENUS,Neuron,2
GSE216146,D20-6410,cisplatin_GENUS,OPC,18
GSE216146,D20-6410,cisplatin_GENUS,Oligodendrocyte,74
GSE216146,D20-6410,cisplatin_GENUS,Pericyte,8
GSE216146,D21-2746,control,Astrocyte,355
