assignment_index,is_observed,cis_matches_observed,dox_matches_observed,mean_shared_fraction,sd_shared_fraction,min_shared_fraction,max_shared_fraction,mean_test_mse,mean_shared_var_sum,mean_drug_var_sum,mean_shared_active_units,mean_drug_active_units
0,False,False,False,0.8873677055040995,0.08668394560917926,0.7872739434242249,0.9376030564308168,0.1408268163601557,0.14444981701672074,0.025104881419489734,3.0,1.6666666666666667
1,False,False,True,0.9690083265304565,0.005780772718603585,0.9650302529335022,0.9756394028663636,0.14066517353057859,0.10051743189493813,0.0032169085461646,3.3333333333333335,0.0
2,False,False,False,0.43260415891806286,0.4471570712203698,0.1159295886754989,0.9441232085227966,0.14061290522416428,0.02483382510642203,0.04301586095243687,0.6666666666666666,1.0
3,False,False,True,0.29201337198416394,0.2348802846461216,0.1511649787425995,0.5631613731384277,0.14058190087477365,0.018116725763926866,0.042949592073758404,0.3333333333333333,1.6666666666666667
4,False,False,False,0.9106294711430868,0.072457888001403,0.8291041851043701,0.9676821827888488,0.1403108090162277,0.009493207481379266,0.0005922271908881,0.0,0.0
5,False,False,True,0.9297894239425659,0.008733080681965178,0.919705331325531,0.9348337650299072,0.1407296905914942,0.011660004655520065,0.0008692968209894333,0.0,0.0
6,False,False,False,0.8546863198280334,0.12693183643352843,0.7211551666259766,0.9737851023674012,0.14097953836123145,0.021223584112400735,0.0020226707177546667,0.0,0.0
7,False,False,True,0.8879087766011556,0.07340520359998375,0.8126305341720581,0.959285318851471,0.1405368198951085,0.012514002931614665,0.0008431729705383,0.3333333333333333,0.0
8,False,False,False,0.9883654912312826,0.0051686256281280275,0.9847370982170104,0.9942834377288818,0.1405805299679438,0.2318685948848724,0.0029115452974413335,4.333333333333333,0.0
9,False,False,True,0.9108070731163025,0.11066520210342386,0.7832666635513306,0.9814234375953674,0.14065278073151902,0.20689101765553153,0.009015716922779833,4.333333333333333,0.6666666666666666
10,False,False,False,0.891591489315033,0.05682005594880205,0.8390932083129883,0.9519209265708924,0.14046815037727353,0.04242012153069174,0.0057082077643523,1.3333333333333333,0.0
11,False,False,True,0.3539307216803233,0.24195820758922748,0.2050911635160446,0.6331158876419067,0.1406176835298538,0.0266394042409956,0.04338173506160573,0.3333333333333333,2.3333333333333335
12,False,False,False,0.9500091075897217,0.0376809770445882,0.9138740301132202,0.9890658855438232,0.14044102032979325,0.0281522469595074,0.0005815138671701666,1.3333333333333333,0.0
13,False,False,True,0.7751272916793823,0.1400280595481089,0.6205541491508484,0.8935017585754395,0.14062928160031632,0.004675636184401767,0.0009269189322366665,0.0,0.0
14,False,True,False,0.8787760933240255,0.15062122079761545,0.7069534659385681,0.988021731376648,0.1403743773698806,0.031732087954878765,0.004238485436265634,1.0,0.3333333333333333
15,True,True,True,0.7762220501899719,0.1772353286442294,0.6213995814323425,0.9695421457290648,0.14030881226062772,0.014898975845426267,0.0029219025357935997,0.3333333333333333,0.0
