assignment_index,cis_treated_libraries,dox_treated_libraries,is_observed,cis_matches_observed,dox_matches_observed,replicate_1_cis_treated,replicate_2_cis_treated,replicate_3_cis_treated
0,D20-6407|D21-2746|D21-2747,GSM8367861,False,False,False,D20-6407,D21-2746,D21-2747
1,D20-6407|D21-2746|D21-2747,GSM8367862,False,False,True,D20-6407,D21-2746,D21-2747
2,D20-6407|D21-2746|D21-2751,GSM8367861,False,False,False,D20-6407,D21-2746,D21-2751
3,D20-6407|D21-2746|D21-2751,GSM8367862,False,False,True,D20-6407,D21-2746,D21-2751
4,D20-6407|D21-2747|D21-2750,GSM8367861,False,False,False,D20-6407,D21-2750,D21-2747
5,D20-6407|D21-2747|D21-2750,GSM8367862,False,False,True,D20-6407,D21-2750,D21-2747
6,D20-6407|D21-2750|D21-2751,GSM8367861,False,False,False,D20-6407,D21-2750,D21-2751
7,D20-6407|D21-2750|D21-2751,GSM8367862,False,False,True,D20-6407,D21-2750,D21-2751
8,D20-6409|D21-2746|D21-2747,GSM8367861,False,False,False,D20-6409,D21-2746,D21-2747
9,D20-6409|D21-2746|D21-2747,GSM8367862,False,False,True,D20-6409,D21-2746,D21-2747
10,D20-6409|D21-2746|D21-2751,GSM8367861,False,False,False,D20-6409,D21-2746,D21-2751
11,D20-6409|D21-2746|D21-2751,GSM8367862,False,False,True,D20-6409,D21-2746,D21-2751
12,D20-6409|D21-2747|D21-2750,GSM8367861,False,False,False,D20-6409,D21-2750,D21-2747
13,D20-6409|D21-2747|D21-2750,GSM8367862,False,False,True,D20-6409,D21-2750,D21-2747
14,D20-6409|D21-2750|D21-2751,GSM8367861,False,True,False,D20-6409,D21-2750,D21-2751
15,D20-6409|D21-2750|D21-2751,GSM8367862,True,True,True,D20-6409,D21-2750,D21-2751
