seed,best_epoch,epochs_run,validation_mse,test_mse,shared_fraction,doxorubicin_shared_fraction,cisplatin_shared_fraction,shared_var_sum,drug_var_sum,shared_active_units,dox_active_units,cis_active_units,shared_dims_kl_gt_0p01,dox_dims_kl_gt_0p01,cis_dims_kl_gt_0p01,shared_mean_total_kl_nats,dox_mean_total_kl_nats,cis_mean_total_kl_nats,n_treated_test,n_doxorubicin_test,n_cisplatin_test,assignment_index,is_observed,cis_matches_observed,dox_matches_observed,cis_treated_libraries,dox_treated_libraries
0,99,100,0.1440556076388889,0.14089031517505646,0.9376030564308167,0.8735610246658325,0.9469640851020813,0.025107746943831444,0.0016709067858755589,0,0,0,0,0,0,0.018241610378026962,0.0009044694015756249,0.0020324471406638622,300,150,150,0,False,False,False,D20-6407|D21-2746|D21-2747,GSM8367861
1,98,100,0.14438138888888888,0.14145466685295105,0.7872739434242249,0.9809118509292603,0.7843726277351379,0.22782523930072784,0.061559729278087616,4,0,4,4,0,3,0.13311412930488586,0.0019014180870726705,0.06680358946323395,300,150,150,0,False,False,False,D20-6407|D21-2746|D21-2747,GSM8367861
2,99,100,0.14331502170138888,0.14013546705245972,0.9372261166572571,0.9957945942878723,0.9338719248771667,0.18041646480560303,0.012084008194506168,5,0,1,3,0,0,0.10360027849674225,0.00032025945256464183,0.01337834820151329,300,150,150,0,False,False,False,D20-6407|D21-2746|D21-2747,GSM8367861
0,99,100,0.1436420486111111,0.1405559480190277,0.9663553237915039,0.964758038520813,0.9793863892555237,0.0544295459985733,0.0018950211815536022,2,0,0,1,0,0,0.03688553720712662,0.0010701881255954504,0.0025114251766353846,300,150,150,1,False,False,True,D20-6407|D21-2746|D21-2747,GSM8367862
1,96,100,0.14374916666666668,0.14084570109844208,0.9650302529335022,0.956046998500824,0.9669973850250244,0.1406930685043335,0.005098277702927589,4,0,0,2,0,0,0.08454816043376923,0.0006240080110728741,0.006607608404010534,300,150,150,1,False,False,True,D20-6407|D21-2746|D21-2747,GSM8367862
2,97,100,0.1433888671875,0.14059387147426605,0.9756394028663635,0.7495070099830627,0.9826207160949707,0.10642968118190765,0.002657426754012704,4,0,0,3,0,0,0.06384637951850891,0.0009118869784288108,0.004811970517039299,300,150,150,1,False,False,True,D20-6407|D21-2746|D21-2747,GSM8367862
0,99,100,0.14365600694444444,0.1405838131904602,0.9441232085227966,0.9629328846931458,0.9456780552864075,0.051357291638851166,0.003039519302546978,2,0,0,2,0,0,0.03652862459421158,0.0005293217254802585,0.004514939617365599,300,150,150,2,False,False,False,D20-6407|D21-2746|D21-2751,GSM8367861
1,98,100,0.14344084201388888,0.1407010704278946,0.11592958867549896,0.8436510562896729,0.11005695909261703,0.01172160916030407,0.08938811719417572,0,0,2,0,0,2,0.010836992412805557,0.0007420555921271443,0.0959596335887909,300,150,150,2,False,False,False,D20-6407|D21-2746|D21-2751,GSM8367861
2,99,100,0.14344983506944445,0.14055383205413818,0.23775967955589294,0.9544527530670166,0.22569890320301056,0.011422574520111084,0.036619946360588074,0,0,1,0,0,1,0.009423989802598953,0.0002543053706176579,0.03907265514135361,300,150,150,2,False,False,False,D20-6407|D21-2746|D21-2751,GSM8367861
0,99,100,0.14390873697916667,0.1407243311405182,0.5631613731384277,0.8629290461540222,0.5455365777015686,0.036122847348451614,0.028020134195685387,1,0,2,0,0,2,0.025415245443582535,0.0020136176608502865,0.03266266733407974,300,150,150,3,False,False,True,D20-6407|D21-2746|D21-2751,GSM8367862
1,97,100,0.14361090277777777,0.1407180279493332,0.1511649787425995,0.8031718134880066,0.1481660157442093,0.014697796665132046,0.0825323686003685,0,0,2,0,0,2,0.011915055103600025,0.0011319175828248262,0.08932575583457947,300,150,150,3,False,False,True,D20-6407|D21-2746|D21-2751,GSM8367862
2,98,100,0.14333444878472223,0.1403033435344696,0.16171376407146454,0.6781553030014038,0.1521141678094864,0.00352953327819705,0.018296273425221443,0,0,1,0,0,1,0.004827865399420261,0.00037203391548246145,0.02086789533495903,300,150,150,3,False,False,True,D20-6407|D21-2746|D21-2751,GSM8367862
0,99,100,0.14347863715277778,0.1400565505027771,0.9351020455360413,0.9735468626022339,0.9464347958564758,0.00709026912227273,0.0004920787760056555,0,0,0,0,0,0,0.005125865805894136,0.00025264392024837434,0.0019823836628347635,300,150,150,4,False,False,False,D20-6407|D21-2747|D21-2750,GSM8367861
1,99,100,0.14369227430555556,0.14095430076122284,0.9676821827888489,0.8521050214767456,0.9793124794960022,0.01808778941631317,0.0006040808511897922,0,0,0,0,0,0,0.013206197880208492,0.0003888587234541774,0.001920753507874906,300,150,150,4,False,False,False,D20-6407|D21-2747|D21-2750,GSM8367861
2,98,100,0.1431821267361111,0.13992157578468323,0.8291041851043701,0.6834537386894226,0.9055862426757812,0.0033015639055520296,0.0006805219454690814,0,0,0,0,0,0,0.003901874180883169,0.0006842841394245625,0.0014742439379915595,300,150,150,4,False,False,False,D20-6407|D21-2747|D21-2750,GSM8367861
0,99,100,0.14380240885416667,0.14092399179935455,0.9348337650299072,0.5955448150634766,0.9792807102203369,0.011813998222351074,0.0008235401473939419,0,0,0,0,0,0,0.009546022862195969,0.0008254594285972416,0.0011920917313545942,300,150,150,5,False,False,True,D20-6407|D21-2747|D21-2750,GSM8367862
1,98,100,0.1435158159722222,0.14040495455265045,0.9348291754722595,0.8770712018013,0.9748637676239014,0.01353863812983036,0.0009438346605747938,0,0,0,0,0,0,0.010777650400996208,0.0006778602255508304,0.0017130931373685598,300,150,150,5,False,False,True,D20-6407|D21-2747|D21-2750,GSM8367862
2,98,100,0.1435128125,0.14086012542247772,0.919705331325531,0.6444929838180542,0.9635430574417114,0.00962737761437893,0.0008405156549997628,0,0,0,0,0,0,0.008734923787415028,0.0008585024625062943,0.003524456173181534,300,150,150,5,False,False,True,D20-6407|D21-2747|D21-2750,GSM8367862
0,97,100,0.143962109375,0.14096717536449432,0.9737851023674011,0.9885097742080688,0.9764501452445984,0.033884719014167786,0.0009121968760155141,0,0,0,0,0,0,0.032280322164297104,0.00028147114790044725,0.0014321684138849378,300,150,150,6,False,False,False,D20-6407|D21-2750|D21-2751,GSM8367861
1,99,100,0.14371315972222223,0.1411280781030655,0.8691186904907227,0.8421024084091187,0.8774945139884949,0.026946615427732468,0.004057914484292269,0,0,0,0,0,0,0.01797444000840187,0.00020956002117600292,0.0051117646507918835,300,150,150,6,False,False,False,D20-6407|D21-2750|D21-2751,GSM8367861
2,97,100,0.1436053298611111,0.14084336161613464,0.7211551666259766,0.9237289428710938,0.7256434559822083,0.0028394178953021765,0.0010979007929563522,0,0,0,0,0,0,0.004672451876103878,0.0004314718535169959,0.0017848304705694318,300,150,150,6,False,False,False,D20-6407|D21-2750|D21-2751,GSM8367861
0,99,100,0.14367604166666667,0.1404971033334732,0.8126305341720581,0.7577005624771118,0.9184656143188477,0.002184685319662094,0.0005037261871621013,0,0,0,0,0,0,0.002920059720054269,0.0004966498236171901,0.0012170253321528435,300,150,150,7,False,False,True,D20-6407|D21-2750|D21-2751,GSM8367862
1,96,100,0.14358724826388888,0.14066283404827118,0.959285318851471,0.8754510283470154,0.9774071574211121,0.028699275106191635,0.0012180753983557224,1,0,0,0,0,0,0.019402742385864258,0.0009762929403223097,0.0022576593328267336,300,150,150,7,False,False,True,D20-6407|D21-2750|D21-2751,GSM8367862
2,99,100,0.14336122395833334,0.14045052230358124,0.8918104767799377,0.7937900424003601,0.9306188821792603,0.006658048368990421,0.0008077173260971904,0,0,0,0,0,0,0.006644206587225199,0.0006006119074299932,0.0011018771911039948,300,150,150,7,False,False,True,D20-6407|D21-2750|D21-2751,GSM8367862
0,99,100,0.14365766927083334,0.14062801003456116,0.9942834377288818,0.9457345008850098,0.9959766864776611,0.19066116213798523,0.0010961944935843349,4,0,0,4,0,0,0.10516418516635895,0.0004085250257048756,0.002654852345585823,300,150,150,8,False,False,False,D20-6409|D21-2746|D21-2747,GSM8367861
1,98,100,0.14375061631944444,0.1411440670490265,0.9847370982170105,0.9749513268470764,0.9851871132850647,0.36864763498306274,0.0057138423435389996,7,0,0,6,0,0,0.20404236018657684,0.0004241428687237203,0.00719438586384058,300,150,150,8,False,False,False,D20-6409|D21-2746|D21-2747,GSM8367861
2,98,100,0.14323171006944443,0.13996951282024384,0.9860759377479553,0.6115855574607849,0.990528404712677,0.13629698753356934,0.0019245990552008152,2,0,0,2,0,0,0.08020150661468506,0.0005021667457185686,0.0029070167802274227,300,150,150,8,False,False,False,D20-6409|D21-2746|D21-2747,GSM8367861
0,99,100,0.14362233506944444,0.14063070714473724,0.9814234375953674,0.3137914836406708,0.9909378290176392,0.2844988703727722,0.005385041236877441,5,0,0,5,0,0,0.15909986197948456,0.003724411129951477,0.004291431047022343,300,150,150,9,False,False,True,D20-6409|D21-2746|D21-2747,GSM8367862
1,98,100,0.14365998263888888,0.14091388881206512,0.9677311182022095,0.8478396534919739,0.9692719578742981,0.29322367906570435,0.009777515195310116,6,0,1,5,0,0,0.1604088842868805,0.0005589556531049311,0.011833650059998035,300,150,150,9,False,False,True,D20-6409|D21-2746|D21-2747,GSM8367862
2,97,100,0.14351864583333335,0.14041374623775482,0.7832666635513306,0.7853385806083679,0.7943699955940247,0.042950503528118134,0.011884594336152077,2,0,1,1,0,0,0.03498101234436035,0.000776741944719106,0.014128568582236767,300,150,150,9,False,False,True,D20-6409|D21-2746|D21-2747,GSM8367862
0,99,100,0.14339953125,0.14037327468395233,0.8837603330612183,0.7774268984794617,0.885537326335907,0.04726432263851166,0.006216605193912983,2,0,0,0,0,0,0.031421810388565063,0.0004058849881403148,0.007630501873791218,300,150,150,10,False,False,False,D20-6409|D21-2746|D21-2751,GSM8367861
1,99,100,0.1434224609375,0.14065298438072205,0.9519209265708923,0.842130184173584,0.9740500450134277,0.03137751668691635,0.001584796467795968,1,0,0,1,0,0,0.027170151472091675,0.0007555446354672313,0.0030069693457335234,300,150,150,10,False,False,False,D20-6409|D21-2746|D21-2751,GSM8367861
2,99,100,0.14338943576388888,0.1403781920671463,0.8390932083129883,0.9833903908729553,0.8379602432250977,0.04861852526664734,0.009323221631348133,1,0,0,1,0,0,0.032792866230010986,0.0002733884030021727,0.010142256505787373,300,150,150,10,False,False,False,D20-6409|D21-2746|D21-2751,GSM8367861
0,99,100,0.143402109375,0.1405346691608429,0.20509116351604462,0.020839370787143707,0.25667205452919006,0.020287148654460907,0.07863056659698486,0,1,2,0,1,2,0.014605553820729256,0.022879227995872498,0.05996214970946312,300,150,150,11,False,False,True,D20-6409|D21-2746|D21-2751,GSM8367862
1,95,100,0.14376704427083334,0.14074920117855072,0.6331158876419067,0.949502170085907,0.6314830183982849,0.053769126534461975,0.031158652156591415,1,0,3,1,0,1,0.03420568257570267,0.0014622826129198074,0.032901156693696976,300,150,150,11,False,False,True,D20-6409|D21-2746|D21-2751,GSM8367862
2,99,100,0.14349612413194446,0.14056918025016785,0.2235851138830185,0.18136650323867798,0.2174745351076126,0.0058619375340640545,0.020355986431241035,0,0,1,0,0,1,0.005382760427892208,0.0009636625181883574,0.02417844533920288,300,150,150,11,False,False,True,D20-6409|D21-2746|D21-2751,GSM8367862
0,99,100,0.1434579861111111,0.1406758576631546,0.9890658855438232,0.8006107807159424,0.9956852197647095,0.06898801773786545,0.0007626650622114539,4,0,0,2,0,0,0.03816646710038185,0.00032138885580934584,0.0021514813415706158,300,150,150,12,False,False,False,D20-6409|D21-2747|D21-2750,GSM8367861
1,98,100,0.14348673611111112,0.14059968292713165,0.9470874071121216,0.7208346724510193,0.9717836380004883,0.012402626685798168,0.0006929192459210753,0,0,0,0,0,0,0.01102190650999546,0.0004148006846662611,0.0014080642722547054,300,150,150,12,False,False,False,D20-6409|D21-2747|D21-2750,GSM8367861
2,96,100,0.14361735243055557,0.14004752039909363,0.9138740301132202,0.7514054179191589,0.9507288932800293,0.00306609645485878,0.0002889572933781892,0,0,0,0,0,0,0.005223801359534264,0.0002091648057103157,0.001431183540262282,300,150,150,12,False,False,False,D20-6409|D21-2747|D21-2750,GSM8367861
0,97,100,0.14339254340277777,0.1405181884765625,0.6205541491508484,0.7405871152877808,0.6277419328689575,0.0017437300411984324,0.0010662260465323925,0,0,0,0,0,0,0.004715451505035162,0.00046520878095179796,0.0018787210574373603,300,150,150,13,False,False,True,D20-6409|D21-2747|D21-2750,GSM8367862
1,97,100,0.14354083333333334,0.14063818752765656,0.8935017585754395,0.8821304440498352,0.9118902683258057,0.010073590092360973,0.0012006905162706971,0,0,0,0,0,0,0.009281940758228302,0.0005854496266692877,0.0016396869905292988,300,150,150,13,False,False,True,D20-6409|D21-2747|D21-2750,GSM8367862
2,99,100,0.14349035590277778,0.14073146879673004,0.8113259673118591,0.6891701817512512,0.919736385345459,0.0022095884196460247,0.0005138402339071035,0,0,0,0,0,0,0.0028285845182836056,0.0006733493646606803,0.0010518941562622786,300,150,150,13,False,False,True,D20-6409|D21-2747|D21-2750,GSM8367862
0,99,100,0.14354763888888888,0.14045526087284088,0.988021731376648,0.9797928929328918,0.9924159049987793,0.051392488181591034,0.000623054220341146,2,0,0,1,0,0,0.031746067106723785,0.000379973731469363,0.0017216700362041593,300,150,150,14,False,True,False,D20-6409|D21-2750|D21-2751,GSM8367861
1,96,100,0.14340053819444445,0.14052869379520416,0.7069534659385681,0.9838165044784546,0.7024016380310059,0.026583975180983543,0.01101959589868784,1,0,1,0,0,0,0.020632820203900337,9.547911759000272e-05,0.013758957386016846,300,150,150,14,False,True,False,D20-6409|D21-2750|D21-2751,GSM8367861
2,99,100,0.14320200520833334,0.14013917744159698,0.9413530826568604,0.9311696887016296,0.9627513289451599,0.017219800502061844,0.0010728061897680163,0,0,0,0,0,0,0.01198829710483551,0.0006776395021006465,0.002679132390767336,300,150,150,14,False,True,False,D20-6409|D21-2750|D21-2751,GSM8367861
0,99,100,0.1432829123263889,0.14032503962516785,0.6213995814323425,0.08894358575344086,0.9545672535896301,0.00943821482360363,0.005750425159931183,0,0,0,0,0,0,0.008689682930707932,0.006493988912552595,0.0013544377870857716,300,150,150,15,True,True,True,D20-6409|D21-2750|D21-2751,GSM8367862
1,97,100,0.14327200520833333,0.1404704749584198,0.9695421457290649,0.9033401608467102,0.9824218153953552,0.029372837394475937,0.0009227382251992822,1,0,0,0,0,0,0.021958284080028534,0.0003181711945217103,0.0020889982115477324,300,150,150,15,True,True,True,D20-6409|D21-2750|D21-2751,GSM8367862
2,99,100,0.1430553472222222,0.1401309221982956,0.7377244234085083,0.22032836079597473,0.9303953647613525,0.005885875318199396,0.002092544222250581,0,0,0,0,0,0,0.004772007465362549,0.0025546986144036055,0.001056081149727106,300,150,150,15,True,True,True,D20-6409|D21-2750|D21-2751,GSM8367862
