fold,stratum,n_available_training_libraries_cells,n_train,n_validation
replicate_1,GSE216146_control,4224,1500,100
replicate_1,GSE216146_cisplatin,3313,1500,100
replicate_1,GSE271055_control,9455,1500,100
replicate_1,GSE271055_doxorubicin,10518,1500,100
replicate_1,heldout_control,606,0,0
replicate_1,heldout_cisplatin,692,0,0
replicate_2,GSE216146_control,2296,1500,100
replicate_2,GSE216146_cisplatin,1633,1500,100
replicate_2,GSE271055_control,9455,1500,100
replicate_2,GSE271055_doxorubicin,10518,1500,100
replicate_2,heldout_control,2534,0,0
replicate_2,heldout_cisplatin,2372,0,0
replicate_3,GSE216146_control,3140,1500,100
replicate_3,GSE216146_cisplatin,3064,1500,100
replicate_3,GSE271055_control,9455,1500,100
replicate_3,GSE271055_doxorubicin,10518,1500,100
replicate_3,heldout_control,1690,0,0
replicate_3,heldout_cisplatin,941,0,0
