fold,mode,n_seed_runs,mean_seen_library_validation_balanced_mse,sd_seen_library_validation_balanced_mse,mean_unseen_library_balanced_mse,sd_unseen_library_balanced_mse,mean_unseen_minus_seen_mse,mean_unseen_over_seen_mse_ratio,mean_unseen_control_mse,mean_unseen_cisplatin_mse,n_unseen_cells
replicate_1,full,3,0.08927128463983536,0.0005335778626159035,0.09920402367909749,0.0004203730680460933,0.009932739039262136,1.11127327198222,0.09865359216928482,0.09975445518891017,1298
replicate_1,gaussian_vae,3,0.08843570947647095,0.00021335603737890175,0.09775198996067047,0.00014324703481864769,0.009316280484199524,1.1053473224353303,0.0973827267686526,0.09812125315268834,1298
replicate_1,pca32,1,0.08332556486129761,,0.09092476963996887,,0.007599204778671265,1.0911989590628133,0.08931022137403488,0.09253931045532227,1298
replicate_1,training_mean,1,0.3076581358909607,,0.337900847196579,,0.030242711305618286,1.09829972874937,0.330853670835495,0.34494802355766296,1298
replicate_2,full,3,0.08923317243655522,0.00017415874133406583,0.09309250116348267,0.00015556361462626015,0.0038593287269274392,1.043251477778611,0.09858275949954987,0.08760224779446919,4906
replicate_2,gaussian_vae,3,0.08730631073315938,4.79804995785909e-05,0.0915805200735728,8.087776017238305e-05,0.004274209340413411,1.0489563953972836,0.09707227597633998,0.08608876417080562,4906
replicate_2,pca32,1,0.08123044669628143,,0.08442526310682297,,0.0031948164105415344,1.03933028243076,0.08894690871238708,0.07990361750125885,4906
replicate_2,training_mean,1,0.3249858617782593,,0.31341609358787537,,-0.011569768190383911,0.9643991645449547,0.32012704014778137,0.30670514702796936,4906
replicate_3,full,3,0.09447870403528214,0.00039281241098929623,0.08973489453395207,0.0002964164452519517,-0.004743809501330058,0.9497922509356581,0.08851987371842067,0.09094991783301036,2631
replicate_3,gaussian_vae,3,0.09295532355705897,0.00017453579579126337,0.08831878999869029,0.00012064595784305081,-0.004636533558368683,0.950121591167484,0.08694475144147873,0.08969282855590184,2631
replicate_3,pca32,1,0.08811768889427185,,0.08251525461673737,,-0.005602434277534485,0.936421003003647,0.08074920624494553,0.08428129553794861,2631
replicate_3,training_mean,1,0.3255302906036377,,0.3290334939956665,,0.0035032033920288086,1.0107615281684932,0.31473663449287415,0.3433303236961365,2631
