fold,heldout_control_library,heldout_cisplatin_library,mode,seed,best_epoch,training_selection_val_mse_all_strata,seen_library_validation_balanced_mse,unseen_library_balanced_mse,unseen_minus_seen_mse,unseen_over_seen_mse_ratio,unseen_control_mse,unseen_cisplatin_mse,n_unseen_cells
replicate_1,D20-6407,D20-6409,full,0,99.0,0.14789791666666666,0.08971124142408371,0.09963704645633698,0.009925805032253265,1.1106417086051894,0.09913367033004761,0.10014041513204575,1298
replicate_1,D20-6407,D20-6409,full,1,98.0,0.1474246484375,0.08867776393890381,0.09879755973815918,0.010119795799255371,1.1141187525457632,0.09826257079839706,0.09933255612850189,1298
replicate_1,D20-6407,D20-6409,full,2,94.0,0.147664921875,0.08942484855651855,0.09917746484279633,0.009752616286277771,1.1090593547957075,0.09856453537940979,0.09979039430618286,1298
replicate_1,D20-6407,D20-6409,gaussian_vae,0,99.0,0.14694809895833333,0.08866962790489197,0.09791242331266403,0.009242795407772064,1.104238572171364,0.0977841466665268,0.09804069995880127,1298
replicate_1,D20-6407,D20-6409,gaussian_vae,1,99.0,0.1468722265625,0.08825179934501648,0.097706638276577,0.009454838931560516,1.1071348006695847,0.09731366485357285,0.09809961169958115,1298
replicate_1,D20-6407,D20-6409,gaussian_vae,2,97.0,0.14674848958333334,0.0883857011795044,0.09763690829277039,0.009251207113265991,1.1046685944650427,0.09705036878585815,0.09822344779968262,1298
replicate_1,D20-6407,D20-6409,pca32,-1,,,0.08332556486129761,0.09092476963996887,0.007599204778671265,1.0911989590628133,0.08931022137403488,0.09253931045532227,1298
replicate_1,D20-6407,D20-6409,training_mean,-1,,,0.3076581358909607,0.337900847196579,0.030242711305618286,1.09829972874937,0.330853670835495,0.34494802355766296,1298
replicate_2,D21-2746,D21-2750,full,0,99.0,0.14344484375,0.08917117118835449,0.09291628003120422,0.0037451088428497314,1.0419990989569825,0.0984685942530632,0.08736397325992584,4906
replicate_2,D21-2746,D21-2750,full,1,96.0,0.1440005078125,0.08942984789609909,0.09321077167987823,0.0037809237837791443,1.0422780969970102,0.09884201735258102,0.08757952600717545,4906
replicate_2,D21-2746,D21-2750,full,2,98.0,0.14379869791666666,0.0890984982252121,0.09315045177936554,0.004051953554153442,1.0454772373818402,0.09843766689300537,0.0878632441163063,4906
replicate_2,D21-2746,D21-2750,gaussian_vae,0,98.0,0.14190002604166665,0.08730357885360718,0.09152913093566895,0.004225552082061768,1.0484006742627043,0.09692439436912537,0.08613386750221252,4906
replicate_2,D21-2746,D21-2750,gaussian_vae,1,98.0,0.14218760416666668,0.0873555988073349,0.09167374670505524,0.004318147897720337,1.0494318390197763,0.09724541753530502,0.08610207587480545,4906
replicate_2,D21-2746,D21-2750,gaussian_vae,2,99.0,0.14217615885416668,0.08725975453853607,0.0915386825799942,0.00427892804145813,1.0490366729093703,0.09704701602458954,0.08603034913539886,4906
replicate_2,D21-2746,D21-2750,pca32,-1,,,0.08123044669628143,0.08442526310682297,0.0031948164105415344,1.03933028243076,0.08894690871238708,0.07990361750125885,4906
replicate_2,D21-2746,D21-2750,training_mean,-1,,,0.3249858617782593,0.31341609358787537,-0.011569768190383911,0.9643991645449547,0.32012704014778137,0.30670514702796936,4906
replicate_3,D21-2747,D21-2751,full,0,97.0,0.15108432291666668,0.09402785450220108,0.08941897004842758,-0.0046088844537734985,0.9509838390105391,0.08815114945173264,0.09068679064512253,2631
replicate_3,D21-2747,D21-2751,full,1,99.0,0.15120731770833334,0.09474717080593109,0.09000690281391144,-0.004740267992019653,0.9499692924685945,0.08872555196285248,0.091288261115551,2631
replicate_3,D21-2747,D21-2751,full,2,97.0,0.15139203125,0.09466108679771423,0.08977881073951721,-0.0048822760581970215,0.948423621327841,0.08868291974067688,0.09087470173835754,2631
replicate_3,D21-2747,D21-2751,gaussian_vae,0,99.0,0.1499501953125,0.09299255907535553,0.0882861465215683,-0.0047064125537872314,0.9493893640460691,0.08687063306570053,0.08970166742801666,2631
replicate_3,D21-2747,D21-2751,gaussian_vae,1,99.0,0.1501609765625,0.09276517480611801,0.0882178246974945,-0.004547350108623505,0.9509799866369292,0.08674962818622589,0.08968601375818253,2631
replicate_3,D21-2747,D21-2751,gaussian_vae,2,99.0,0.15009184895833333,0.09310823678970337,0.08845239877700806,-0.0046558380126953125,0.9499954228194536,0.08721399307250977,0.08969080448150635,2631
replicate_3,D21-2747,D21-2751,pca32,-1,,,0.08811768889427185,0.08251525461673737,-0.005602434277534485,0.936421003003647,0.08074920624494553,0.08428129553794861,2631
replicate_3,D21-2747,D21-2751,training_mean,-1,,,0.3255302906036377,0.3290334939956665,0.0035032033920288086,1.0107615281684932,0.31473663449287415,0.3433303236961365,2631
