axis,list_type,rank,gene,top50_seed_support,across_seed_mean_abs_ig
shared,consensus_mean_top50,1,Mrc1,3,0.016928866843333334
shared,consensus_mean_top50,2,Pf4,3,0.016287880566666666
shared,consensus_mean_top50,3,Ms4a7,2,0.01535724218
shared,consensus_mean_top50,4,Cbr2,3,0.012778730179999998
shared,consensus_mean_top50,5,Cd163,2,0.011495056633333334
shared,consensus_mean_top50,6,F13a1,3,0.010827678583333333
shared,consensus_mean_top50,7,Gpx3,2,0.0078119878
shared,consensus_mean_top50,8,mt-Co3,3,0.0069845118999999995
shared,consensus_mean_top50,9,Dab2,2,0.006471225816666666
shared,consensus_mean_top50,10,mt-Nd4,3,0.0060312658666666664
shared,consensus_mean_top50,11,Cd52,3,0.005971923446666666
shared,consensus_mean_top50,12,mt-Co2,2,0.00595319141
shared,consensus_mean_top50,13,Apoe,3,0.005710761686666666
shared,consensus_mean_top50,14,C5ar1,2,0.00569790706
shared,consensus_mean_top50,15,Stab1,2,0.00558021786
shared,consensus_mean_top50,16,Ttr,3,0.0054393499
shared,consensus_mean_top50,17,Laptm5,2,0.004538492786666667
shared,consensus_mean_top50,18,Lyz2,2,0.0044345400600000005
shared,consensus_mean_top50,19,Lilrb4a,2,0.004326290456666667
shared,consensus_mean_top50,20,Ifi27l2a,3,0.0035441042
shared,consensus_mean_top50,21,Atp5g1,2,0.003138293886666666
shared,consensus_mean_top50,22,Ifitm3,2,0.0031009477
shared,consensus_mean_top50,23,Bst2,3,0.0030660159
shared,consensus_mean_top50,24,Psmb8,3,0.0030615927333333334
shared,consensus_mean_top50,25,Cpne2,2,0.003060321076666667
shared,consensus_mean_top50,26,Tec,2,0.002986936343333333
shared,consensus_mean_top50,27,Ctsd,2,0.0029548201733333337
shared,consensus_mean_top50,28,Lgals1,3,0.002861180266666667
shared,consensus_mean_top50,29,Ms4a6c,1,0.0027421619166666665
shared,consensus_mean_top50,30,Junb,3,0.0027006687
shared,consensus_mean_top50,31,Cxcl12,3,0.002608686146666667
shared,consensus_mean_top50,32,Slc6a6,2,0.0024110098000000003
