gene,attribution,drug
Ntm,-0.0116902115,doxorubicin
Cadm2,-0.011576408,doxorubicin
March1,-0.011415436,doxorubicin
Kcnd2,-0.010607832,doxorubicin
Frmpd4,0.010031957,doxorubicin
Gria3,0.009896484,doxorubicin
Prkca,-0.009375988,doxorubicin
Grin2a,-0.0083597265,doxorubicin
Frmd4a,0.008250208,doxorubicin
Gpm6a,-0.007934881,doxorubicin
Lrrc4c,-0.007840245,doxorubicin
Erbb4,-0.007798093,doxorubicin
Nrxn1,-0.0077034486,doxorubicin
Rasal2,-0.007661471,doxorubicin
Dmd,-0.007217463,doxorubicin
Slc1a2,-0.0072119683,doxorubicin
Ppfia2,-0.007023972,doxorubicin
Ahcyl2,0.0069290483,doxorubicin
Ptprd,-0.006650447,doxorubicin
Prickle2,0.0064123934,doxorubicin
Rims1,-0.006376452,doxorubicin
Gm3764,-0.006280489,doxorubicin
Gm26871,-0.0061856653,doxorubicin
Stk3,0.006176937,doxorubicin
Nrg3,0.006147173,doxorubicin
Wwox,0.006067668,doxorubicin
Tmeff2,-0.0060065566,doxorubicin
Kcnq3,-0.0059361546,doxorubicin
Mmp16,0.0058935033,doxorubicin
Dok6,-0.0058597173,doxorubicin
Adarb2,0.005824676,doxorubicin
Cntnap5a,-0.005775856,doxorubicin
Syn2,-0.0057512596,doxorubicin
Ptprg,0.0056711915,doxorubicin
Cacnb2,0.0055680275,doxorubicin
Sdk1,-0.005499998,doxorubicin
Mgat4c,0.0054956037,doxorubicin
Car10,-0.0053035966,doxorubicin
Tenm2,0.005302728,doxorubicin
Pcdh7,0.0052917665,doxorubicin
Clu,0.005266386,doxorubicin
Cntn3,-0.005197373,doxorubicin
Ak5,-0.0051628617,doxorubicin
Ptprt,0.005094307,doxorubicin
Grip1,0.005052807,doxorubicin
Dpp10,0.005028926,doxorubicin
Snhg11,0.004959333,doxorubicin
Syt1,-0.0049376907,doxorubicin
Chl1,-0.0048609786,doxorubicin
Dlg2,-0.0048360806,doxorubicin
Csf1r,0.032315984,cisplatin
Apoe,0.029784046,cisplatin
C1qa,0.029130654,cisplatin
C1qb,0.026821965,cisplatin
C1qc,0.026258742,cisplatin
Hexb,0.024491537,cisplatin
Dbndd2,0.023370145,cisplatin
Scd2,-0.021949144,cisplatin
Plp1,0.020642675,cisplatin
Cnp,0.020475311,cisplatin
Slc12a2,0.020005306,cisplatin
Trf,0.019912843,cisplatin
Ldhb,0.01972848,cisplatin
Selplg,-0.018862404,cisplatin
Zfp36l1,-0.017856153,cisplatin
Trem2,0.017670957,cisplatin
Gpr34,0.016843485,cisplatin
Dbi,0.015992614,cisplatin
Ly86,0.015860643,cisplatin
Tmcc3,0.015318295,cisplatin
H2-D1,-0.015044613,cisplatin
Aplp1,0.015038084,cisplatin
Gstm5,0.014876846,cisplatin
Nfia,0.014693808,cisplatin
Mal,0.014463093,cisplatin
P2ry12,0.014296979,cisplatin
Nfib,0.013678862,cisplatin
Mobp,0.013635374,cisplatin
Atf3,0.01350185,cisplatin
Bmpr2,0.013500096,cisplatin
Ctsd,-0.013433239,cisplatin
Fez1,0.013291521,cisplatin
Cox7b,-0.013243897,cisplatin
Rab8b,-0.013150091,cisplatin
Bc1,0.012936746,cisplatin
Frmd4a,0.012801006,cisplatin
Adrb2,0.012787392,cisplatin
Ptgds,-0.012699666,cisplatin
Id2,-0.0126400115,cisplatin
Abca2,-0.012611364,cisplatin
Laptm5,-0.012598046,cisplatin
S100a1,0.012597719,cisplatin
Frmd4b,0.012511217,cisplatin
Cd68,0.012245269,cisplatin
Tsc22d1,0.012180473,cisplatin
Tyrobp,0.011801467,cisplatin
Maf,0.011448799,cisplatin
Hspa1b,0.011384798,cisplatin
Mt3,0.011375677,cisplatin
mt-Nd2,0.0113399215,cisplatin
