gene,attribution
Gm15738,0.13005823
mt-Nd4,-0.12759317
Gm20642,0.11961547
mt-Nd2,-0.117524594
Ctnna3,0.11705239
Gria2,-0.111996
mt-Co1,-0.10818396
Fndc9,0.09558321
Kcnq1ot1,-0.095452964
Lrrtm4,0.09210734
mt-Cytb,-0.08931879
Meg3,-0.08420159
Gm36975,0.08266003
Gm20275,0.08170552
mt-Co3,-0.08012066
mt-Co2,-0.077530116
B3galt1,-0.07293746
Gm48678,0.07159152
Hexb,0.06908405
Hs6st3,-0.06847442
Il1rapl1,-0.067830004
Ntng1,0.066961125
mt-Atp6,-0.066959046
Apoe,-0.06539518
Egfem1,0.06217686
Galntl6,-0.062030736
Dcc,-0.06127873
Nrxn3,0.060204685
Ppp3ca,-0.059362497
Tafa1,-0.058503997
Gm37240,0.057419516
Gm20754,-0.057127047
P2ry12,0.055945903
Ank3,-0.055721246
Junb,0.05460848
Grin2a,-0.053727154
Tenm3,0.053235456
Gm12296,0.05314389
Syt1,-0.052760396
4930419G24Rik,0.052758224
Gm37679,0.05216704
C1qb,0.051923156
Adarb2,-0.05069044
Cx3cr1,0.05046228
Xkr4,-0.04950585
Mgat4c,-0.049012043
Gm41609,0.048974123
Olfm1,-0.0485479
Unc80,-0.04839427
Rian,-0.048196733
